Product_ID,Division,Product_Name,Factory,Unit_Price,Unit_Cost
CHO-NUT-13000,Chocolate,Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,3.49,1
CHO-FUD-51000,Chocolate,Wonka Bar - Fudge Mallows,Lot's O' Nuts,3.6,1.2
CHO-SCR-58000,Chocolate,Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,3.6,1.1
CHO-MIL-31000,Chocolate,Wonka Bar - Milk Chocolate,Wicked Choccy's,3.25,1.14
CHO-TRI-54000,Chocolate,Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,3.75,1.3
SUG-LAF-25000,Sugar,Laffy Taffy,Sugar Shack,1.99,0.75
SUG-SWE-91000,Sugar,SweeTARTS,Sugar Shack,1.5,0.8
SUG-NER-92000,Sugar,Nerds,Sugar Shack,1.5,0.8
SUG-FUN-75000,Sugar,Fun Dip,Sugar Shack,1.5,0.9
OTH-FIZ-56000,Other,Fizzy Lifting Drinks,Sugar Shack,3.75,1.5
SUG-EVE-47000,Sugar,Everlasting Gobstopper,Secret Factory,10,2
SUG-HAI-55000,Sugar,Hair Toffee,The Other Factory,4.5,1
OTH-LIC-15000,Other,Lickable Wallpaper,Secret Factory,20,10
OTH-GUM-21000,Other,Wonka Gum,Secret Factory,1.25,0.6
OTH-KAZ-38000,Other,Kazookles,The Other Factory,3.25,3
